date,open,high,low,close,volume
2024-09-03,116.01,116.21,107.29,108.0,477155100
2024-09-04,105.41,113.27,104.12,106.21,372470300
2024-09-05,104.99,109.65,104.76,107.21,306850700
2024-09-06,108.04,108.15,100.95,102.83,413638100
2024-09-09,104.88,106.55,103.69,106.47,273912000
2024-09-10,107.81,109.4,104.95,108.1,268283700
2024-09-11,109.39,117.19,107.42,116.91,441422400
2024-09-12,116.84,120.79,115.38,119.14,366052700
2024-09-13,119.08,119.96,117.6,119.1,238358300
2024-09-16,116.79,118.18,114.36,116.78,248772300
2024-09-17,118.17,118.8,114.83,115.59,231925900
2024-09-18,115.89,117.7,113.22,113.37,310318900
2024-09-19,117.35,119.66,117.25,117.87,293506400
2024-09-20,117.06,118.62,115.39,116.0,382462400
2024-09-23,116.55,116.99,114.86,116.26,206228500
2024-09-24,116.52,121.8,115.38,120.87,354966800
2024-09-25,122.02,124.94,121.61,123.51,284692900
2024-09-26,126.8,127.67,121.8,124.04,302582900
2024-09-27,123.97,124.03,119.26,121.4,271009200
2024-09-30,118.31,121.5,118.15,121.44,226553700
2024-10-01,121.77,122.44,115.79,117.0,302094500
2024-10-02,116.44,119.38,115.14,118.85,221845900
2024-10-03,120.92,124.36,120.34,122.85,277118000
2024-10-04,124.94,125.04,121.83,124.92,243678100
2024-10-07,124.99,130.64,124.95,127.72,346250200
2024-10-08,130.26,133.48,129.42,132.89,285722500
2024-10-09,134.11,134.52,131.38,132.65,246191600
2024-10-10,131.91,135.0,131.0,134.81,242311300
2024-10-11,134.01,135.78,133.66,134.8,170209500
2024-10-14,136.47,139.6,136.3,138.07,232347700
2024-10-15,137.87,138.57,128.74,131.6,377831000
2024-10-16,133.98,136.62,131.58,135.72,264879700
2024-10-17,139.34,140.89,136.87,136.93,306435900
2024-10-18,138.67,138.9,137.28,138.0,176090200
2024-10-21,138.13,143.71,138.0,143.71,264554500
2024-10-22,142.91,144.42,141.78,143.59,226311600
2024-10-23,142.03,142.43,137.46,139.56,285930000
2024-10-24,140.82,141.35,138.46,140.41,172354900
2024-10-25,140.93,144.13,140.8,141.54,205122100
2024-10-28,143.0,143.14,140.05,140.52,173586700
2024-10-29,140.29,142.26,138.9,141.25,157593600
2024-10-30,139.54,140.33,136.81,139.34,179418100
2024-10-31,137.6,137.61,132.11,132.76,270039600
2024-11-01,134.7,137.31,134.57,135.4,207127800
2024-11-04,137.21,138.96,135.57,136.05,187528200
2024-11-05,137.45,140.37,137.33,139.91,160537400
2024-11-06,142.96,146.49,141.96,145.61,242043900
2024-11-07,146.39,148.93,146.17,148.88,207323300
2024-11-08,148.77,149.77,146.26,147.63,175665800
2024-11-11,148.68,148.85,143.57,145.26,182325600
2024-11-12,146.78,149.65,146.01,148.29,198634700
2024-11-13,149.07,149.33,145.9,146.27,191903300
2024-11-14,147.64,149.0,145.55,146.76,194463300
2024-11-15,144.87,145.24,140.08,141.98,250132900
2024-11-18,139.5,141.55,137.15,140.15,221205300
2024-11-19,141.32,147.13,140.99,147.01,227834900
2024-11-20,147.41,147.56,142.73,145.89,309871700
2024-11-21,149.35,152.89,140.7,146.67,400946600
2024-11-22,145.93,147.16,141.1,141.95,236406200
2024-11-25,141.99,142.05,135.82,136.02,344941900
2024-11-26,137.7,139.3,135.67,136.92,190287700
2024-11-27,135.01,137.22,131.8,135.34,226370900
2024-11-29,136.78,139.35,136.05,138.25,141863200
2024-12-02,138.83,140.45,137.82,138.63,171682800
2024-12-03,138.26,140.54,137.95,140.26,164414000
2024-12-04,142.0,145.79,140.29,145.14,231224300
2024-12-05,145.11,146.54,143.95,145.06,172621200
2024-12-06,144.6,145.7,141.31,142.44,188505600
2024-12-09,138.97,139.95,137.13,138.81,189308600
2024-12-10,139.01,141.82,133.79,135.07,210020900
2024-12-11,137.36,140.17,135.21,139.31,184905200
2024-12-12,137.08,138.44,135.8,137.34,159211400
2024-12-13,138.94,139.6,132.54,134.25,231514900
2024-12-16,134.18,134.4,130.42,132.0,237951100
2024-12-17,129.09,131.59,126.86,130.39,259410300
2024-12-18,133.86,136.7,128.28,128.91,277444500
2024-12-19,131.76,134.03,129.55,130.68,209719200
2024-12-20,129.81,135.28,128.22,134.7,306528600
2024-12-23,136.28,139.79,135.12,139.67,176053500
2024-12-24,140.0,141.9,138.65,140.22,105157000
2024-12-26,139.7,140.85,137.73,139.93,116205600
2024-12-27,138.55,139.02,134.71,137.01,170582600
2024-12-30,134.83,140.27,134.02,137.49,167734700
2024-12-31,138.03,138.07,133.83,134.29,155659200
2025-01-02,136.0,138.88,134.63,138.31,198247200
2025-01-03,140.01,144.9,139.73,144.47,229322500
2025-01-06,148.59,152.16,147.82,149.43,265377400
2025-01-07,153.03,153.13,140.01,140.14,351782200
2025-01-08,142.58,143.95,137.56,140.11,227349900
2025-01-10,137.45,139.92,134.22,135.91,207602500
2025-01-13,129.99,133.49,129.51,133.23,204808900
2025-01-14,136.05,136.38,130.05,131.76,195590500
2025-01-15,133.65,136.45,131.29,136.24,185217300
2025-01-16,138.64,138.75,133.49,133.57,209235600
2025-01-17,136.69,138.5,135.46,137.71,201188800
2025-01-21,139.16,141.83,137.09,140.83,197749000
2025-01-22,144.66,147.79,143.67,147.07,237651400
2025-01-23,145.05,147.23,143.72,147.22,155915500
2025-01-24,148.37,148.97,141.88,142.62,234657600
2025-01-27,124.8,128.4,116.7,118.42,818830900
2025-01-28,121.81,129.0,116.25,128.99,579666400
2025-01-29,126.5,126.89,120.05,123.7,467120600
2025-01-30,123.1,125.0,118.1,124.65,392925500
2025-01-31,123.78,127.85,119.19,120.07,388161100
2025-02-03,114.75,118.57,113.01,116.66,371235700
2025-02-04,116.96,121.2,116.7,118.65,256550000
2025-02-05,121.76,125.0,120.76,124.83,262230800
2025-02-06,127.42,128.77,125.21,128.68,251483600
2025-02-07,129.22,130.37,125.0,129.84,228186300
2025-02-10,130.09,135.0,129.96,133.57,216989100
2025-02-11,132.58,134.48,131.02,132.8,178902400
2025-02-12,130.02,132.24,129.08,131.14,160278600
2025-02-13,131.56,136.5,131.17,135.29,197430000
2025-02-14,136.48,139.25,135.5,138.85,195479600
2025-02-18,141.27,143.44,137.93,139.4,219176600
2025-02-19,139.51,141.36,137.22,139.23,167536000
2025-02-20,140.03,140.66,136.79,140.11,143903600
2025-02-21,140.04,141.46,134.03,134.43,228217600
2025-02-24,136.56,138.59,130.08,130.28,251381100
2025-02-25,129.98,130.2,124.44,126.63,271428700
2025-02-26,129.99,133.73,128.49,131.28,322553800
2025-02-27,135.0,135.01,120.01,120.15,443175800
2025-02-28,118.02,125.09,116.4,124.92,389091100
2025-03-03,123.51,123.7,112.28,114.06,411381400
2025-03-04,110.65,119.31,110.11,115.99,398163300
2025-03-05,117.58,118.28,114.51,117.3,284337900
2025-03-06,113.53,115.35,110.22,110.57,321181900
2025-03-07,111.25,113.48,107.56,112.69,341755500
2025-03-10,109.9,111.85,105.46,106.98,366487400
2025-03-11,106.99,112.24,104.77,108.76,354865700
2025-03-12,114.12,116.76,112.88,115.74,323857500
2025-03-13,117.03,117.76,113.79,115.58,299033100
2025-03-14,118.61,121.88,118.15,121.67,277593500
2025-03-17,122.74,122.89,118.03,119.53,255501500
2025-03-18,118.0,119.02,114.54,115.43,299686900
2025-03-19,117.27,120.45,115.68,117.52,273426200
2025-03-20,116.55,120.2,116.47,118.53,248829700
2025-03-21,116.94,117.99,115.42,117.7,266498500
2025-03-24,119.88,122.22,119.34,121.41,228452500
2025-03-25,120.55,121.29,118.92,120.69,167447200
2025-03-26,118.73,118.84,112.71,113.76,293463300
2025-03-27,111.35,114.45,110.66,111.43,236902100
2025-03-28,111.49,112.87,109.07,109.67,229872500
2025-03-31,105.13,110.96,103.65,108.38,299212700
2025-04-01,108.52,110.2,106.47,110.15,222614000
2025-04-02,107.29,111.98,106.79,110.42,220601200
2025-04-03,103.51,105.63,101.6,101.8,338769400
2025-04-04,98.91,100.13,92.11,94.31,532273800
2025-04-07,87.46,101.75,86.62,97.64,611041300
2025-04-08,103.81,105.85,94.46,96.3,476243400
2025-04-09,98.89,115.1,97.53,114.33,612918300
2025-04-10,109.37,110.86,99.15,107.57,437812400
2025-04-11,108.5,111.55,107.48,110.93,313417300
2025-04-14,114.11,114.29,109.07,110.71,264705000
2025-04-15,110.97,113.62,110.5,112.2,228966900
2025-04-16,104.55,106.79,100.45,104.49,397016900
2025-04-17,104.45,104.47,100.05,101.49,292517500
2025-04-21,98.77,99.44,95.04,96.91,288501100
2025-04-22,98.78,99.81,97.28,98.89,241004800
2025-04-23,104.52,104.8,102.02,102.71,247526000
2025-04-24,103.48,106.54,103.11,106.43,220815000
2025-04-25,106.85,111.92,105.73,111.01,251064700
2025-04-28,109.69,110.37,106.02,108.73,207708500
2025-04-29,107.67,110.2,107.44,109.02,170444300
2025-04-30,104.47,108.92,104.08,108.92,235044600
2025-05-01,113.08,114.94,111.3,111.61,236121500
2025-05-02,114.18,115.4,113.37,114.5,190194800
2025-05-05,112.91,114.67,112.66,113.82,133163200
2025-05-06,111.48,114.74,110.82,113.54,158525600
